Main category,Section,Sub-section,Text,Questions
,Cell Division,Cell division,,
,,Growth and differentiation,,
,,Stem cells,,
,,Stem cell dilemmas,,
,Organisation and the digestive system,Tissues and organs,,
,,The human digestive system,,
,,The chemistry of food,,
,,Catalysts and enzymes,,
,,Factors affecting enzyme action,,
,,How the digestive system works,,
,,Making digestion efficient,,
,Organising Animals and Plants,The blood,,
,,The blood vessels,,
,,The heart,,
,,Helping the heart,,
,,Breathing and gas exchange,,
,,Tissues and organs in plants,,
,,Transport systems in plants,,
,,Evaporation and transpiration,,
,,Factors affecting transpiration,,
Disease and bioenergetics,Communicable diseases,Health and disease,,
,,Health and disease,,
,,growing Bacteria in the lab,,
,,Preventing bacteria growth,,
,,Preventing infections,,
,,Viral diseases,,
,,Bacterial diseases,,
,,Diseases caused by fungi and protists,,
,,Human defence responses,,
,,more about plant diseases,,
,,Plant defence responses,,
,Preventing and treating disease,Vaccination,,
,,Antibiotics and painkillers,,
,,Discovering drugs,,
,,Developing drugs,,
,,making monoclonal antibodies,,
,,uses of monoclonal antibodies,,
,Non-Communicable diseases,Non-communicable diseases,,
,,Cancer,,
,,Smoking and the risk of disease,,
,,"Diet, exercise, and disease",,
,,Alcohol and other carcinogens,,
,Photosynthesis,Photosynthesis,,
,,The rate of photosynthesis,,
,,How plants use glucose,,
,,Making the most of photosynthesis,,
,Respiration,Aerobic respiration,,
,,The response to exercise,,
,,Anaerobic respiration,,
,, Metabolism and the liver,,
Biological responses,The human nervous system,Principles of homeostasis,,
,,The structure and function of the nervous system,,
,,Reflex actions,,
,,The brain,,
,,The Eye,,
,,Common problems of the ege,,
,Hormonal coordination,Principles of hormonal control,,
,,The control of blood glucose levels,,
,,Treating diabetes,,
,,The role of negative feedback,,
,,Human reproduction,,
,,Hormones and the menstrual cycle,,
,,The artificial control of fertility,,
,,Infertility treatments,,
,,Plant hormones and responses,,
,,Using Plant hormones,,
,Homeostasis in action,Controlling body temperature,,
,,Removing waste products,,
,,The human kidney,,
,,Dialysis - an artificial kidney,,
,,Kidney transplants,,
Genetics and reproduction,Reproduction,Types of reproduction,,
,,Cell dicision in sexual reproduction,,
,,The best of both worlds,,
,,DNA and the genome,,
,,DNA structure and protein synthesis,,
,,Gene expression and mutation,,
,,Inheritance in action,,
,,More about genetics,,
,,Inherited disorders,,
,,Screening for genetic disorders,,
,Variation and evolution,Variation,,
,,Evolution by natural selection,,
,,selective breeding,,
,,genetic engineering,,
,,cloning,,
,,adult cell cloning,,
,,ethics of genetic technologies,,
,Genetics and evolution,History of genetics,,
,,Theories of evolution,,
,,Accepting Darwin’s ideas ,,
,,Evolution and speciation ,,
,,Evidence for evolution,,
,,Fossils and extinction ,,
,,More about extinction,,
,,Antibiotic resistant bacteria ,,
,,Classification,,
,,new systems of classification,,
Ecology,"Adaptations, interdependence and competition",The importance of communities,,
,,Organisms  in their environment,,
,,Distribution and abundance,,
,,Competition in animals ,,
,,Competition in plants ,,
,,adapt and survive,,
,,Adaptation in animals,,
,,Adaptations in plants,,
,Organising an ecosystem,Feeding relationships,,
,,materials cycling,,
,,The carbon cycle,,
,,rates of decomposition,,
,Biodiversity and ecosystems,The human population exlosion,,
,,land and water pollution,,
,,air pollution,,
,,deforestation and peat destruction,,
,,global warming,,
,,theimpact of change,,
,,Maintaining biodiversity,,
,,Trophic levels and biomass,,
,,biomass transfers,,
,,factors affecting food security,,
,,making food prooduction effient,,
,,sustainable food production,,
